BBCA,783116151029760
DCII,489978962378752
BBRI,471299512074240
BREN,469566123671552
BYAN,403333332336640
BMRI,394206929485824
AMMN,318614632660992
TLKM,267154347786240
ASII,203592321466368
TPIA,192815829090304
BRPT,180863673303040
SRAJ,159412442365952
DSSA,150863813279744
DNET,138648599134208
BBNI,135242178363392
SMMA,125761373601792
MORA,124145014669312
MPRO,119807131254784
PANI,114593863041024
EMAS,110116963614720
CASA,98057291038720
HMSP,90728097120256
ICBP,90379785338880
CDIA,88572384247808
IMPC,87223017930752
BRMS,87197181018112
BRIS,83955252461568
CUAN,83175405518848
UNTR,82698991304704
BNLI,79237071503360
ANTM,75937219608576
MLPT,75703127113728
ADRO,73153250328576
MDKA,71785689120768
AADI,71444734148608
ISAT,69984256524288
BUMI,69439718424576
UNVR,69125846073344
ADMR,66229377171456
INDF,65414176440320
NCKL,59523532324864
MBMA,59397480906752
AMRT,58350402273280
INCO,56914834620416
GOTO,53304621006848
PTRO,51691005149184
CPIN,51489720500224
PGEO,46508485378048
EXCL,46409650798592
BNBR,46293816705024
MEGA,46145350926336
INKP,45545934553088
BDMN,43492311040000
PGUN,43033865224192
GGRM,41800811151360
BNGA,41720859328512
GEMS,38823530594304
VKTR,38718748491776
CMRY,37689743114240
MYOR,37335232151552
TAPG,36727200677888
PGAS,36604676669440
KLBF,35746597568512
BELI,35402496868352
ENRG,35065199329280
MTEL,34905096454144
EMTK,32426728357888
MEDC,32208211410944
TBIG,31855399141376
ARCI,31165224321024
SILO,30910258872320
NISP,29255253622784
TINS,28748327944192
AKRA,28115671711744
ITMG,28011839619072
PTBA,27289024724992
MAPI,26643001245696
MIKA,26283570364416
FAPA,25701799428096
JPFA,25580873449472
NSSS,24872640053248
SRTG,24660695580672
BINA,24538865729536
TOWR,23517479305216
MDIY,23427064791040
BTPN,22995242319872
MSIN,22814243422208
TKIM,22493041524736
GIAA,21982951243776
PNBN,21664685359104
CBDK,21556524744704
MKPI,20836561977344
ADES,20646390136832
JSMR,20249460080640
SUPA,19999240486912
TCPI,19699999965184
BBHI,19671747133440
DEWA,19448593383424
AVIA,19393148878848
BUVA,19324387459072
MAPA,19240199389184
RAJA,19127548772352
INTP,18527794757632
ARTO,18089037004800
JARR,17676722241536
BBTN,17262366949376
BBSI,17087463424000
SMAR,16371502022656
MGLV,16048643375104
RLCO,15703125000192
ULTJ,15597262864384
RISE,15469662699520
SOHO,15230019043328
BNII,14785747877888
MLBI,14749000531968
DSNG,14627783049216
AALI,14098342346752
CARE,14098000510976
INDY,14047268306944
RATU,13982527127552
BSIM,13899894095872
JRPT,13784544444416
CMNT,13700403560448
AUTO,13447055015936
BFIN,13348192124928
MCOL,13333349531648
ARKO,13266082332672
SCMA,12954959347712
CITA,12910777597952
TSPC,12853113257984
STTP,12772499783680
BKSL,12745876439040
PWON,12714134994944
BSDE,12548037410816
ALII,12423252672512
LIFE,12337500127232
PSAB,12224520257536
HEAL,11891645612032
STAA,11719035322368
POWR,11650851667968
CTRA,11584809205760
