ticker,tv,bars,cost,beat,trades,expo,win,mean_tr,med_tr,null_beat,null_win,null_mean
AADI,94427166250.99998,409,0.008794888178913739,False,9,0.5525672371638142,0.5555555555555556,0.06444803056247589,0.002699367980891522,0.0,0.5444444444444444,0.025626537752104717
AALI,13658842501.000021,6307,0.007862443438914027,False,146,0.531155858569843,0.3561643835616438,0.019928532885060392,-0.029531144888007246,0.0,0.4794520547945205,0.018755117971230473
ABBA,1779501.0000000007,3258,0.016352688172043012,False,76,0.39594843462246776,0.13157894736842105,-0.044967061927101655,-0.05641679073614554,0.2,0.22236842105263158,-0.003971047847203594
ABDA,1.0,6171,0.008541176470588236,False,123,0.4997569275644142,0.34146341463414637,0.005902292427311485,-0.008541176470588236,0.0,0.3703252032520325,0.013681460055257213
ABMM,55248751.0,3620,0.009303703703703703,False,98,0.4740331491712707,0.1836734693877551,-0.024633499067583296,-0.04384698536413639,0.15,0.3795918367346939,-0.002430576618236824
ACES,10849414750.999992,4612,0.012266666666666667,False,109,0.5197311361665221,0.29357798165137616,-0.0015416300882048642,-0.03448877286599097,0.0,0.4596330275229358,0.00044134170156887324
ACRO,341235201.0000005,623,0.01858701298701299,False,16,0.4317817014446228,0.25,-0.05283108341953845,-0.05957235595489341,0.55,0.36875,-0.013269904492156629
ACST,475941544.29199207,3238,0.014504956654101678,True,67,0.42063001852995674,0.2835820895522388,-0.0004907678233080657,-0.033922461481952104,0.65,0.3283582089552239,-0.025155479947145686
ADES,57062501.00000004,6287,0.009732231404958679,True,144,0.46349610306982664,0.2986111111111111,0.06464859625836614,-0.029651759910002316,0.0,0.39479166666666665,0.02392559909492382
ADHI,6972943801.000007,5538,0.013171570379927944,True,116,0.4624413145539906,0.3103448275862069,0.04083953636236076,-0.041907791024110796,0.05,0.3887931034482759,-0.000529642092784065
ADMF,60320001.000000015,5528,0.009698360655737705,False,107,0.43216353111432704,0.2897196261682243,0.021313310780686788,-0.01679035903616244,0.0,0.37149532710280375,0.010462805075986046
ADMG,180165000.9999998,5985,0.01070204081632653,False,137,0.4456140350877193,0.2846715328467153,0.016578874902903225,-0.04011380552220889,0.05,0.38686131386861317,0.0014299254566976936
ADMR,45653711126.000046,1115,0.009290036900369003,False,26,0.4609865470852018,0.38461538461538464,0.005476398121278574,-0.0490259699696905,0.0,0.47884615384615387,0.033489433988992935
ADRO,75464018500.99986,4447,0.008603003003003002,False,108,0.5367663593433776,0.42592592592592593,0.020284557883969326,-0.016571741979911587,0.0,0.4930555555555556,0.008901016795075191
AEGS,250958850.99999982,707,0.02832727272727273,True,15,0.43988684582743987,0.3333333333333333,0.0033046525446676447,-0.06999393939393936,0.45,0.37,-0.016187625426025195
AGAR,2298300.999999999,1624,0.012334006734006734,False,41,0.3620689655172414,0.12195121951219512,0.1337190660554676,-0.061114494538884824,0.05,0.3280487804878049,0.06310119246425741
AGII,300572001.0000001,2441,0.009929004329004329,True,50,0.3969684555510037,0.4,0.037389093252800765,-0.027401665153926932,0.15,0.374,0.015384188748274078
AGRO,369855678.76101655,5471,0.015152478286244348,True,97,0.36483275452385305,0.31958762886597936,0.049017299066427884,-0.03128149310790064,0.05,0.2690721649484536,0.0009465931293135412
AGRS,63171354.15777578,2865,0.016328959768447258,False,76,0.39092495636998253,0.21052631578947367,-4.784461262536428e-05,-0.0557210205849519,0.3,0.30855263157894736,0.0027262868309367587
AHAP,1349991.654903412,5670,0.021729032258064516,False,150,0.47354497354497355,0.20666666666666667,-0.03879938000849284,-0.07053858830821394,0.0,0.365,-0.004379169375086766
AIMS,510000.9999999998,6231,0.012266666666666667,False,137,0.39897287754774513,0.24817518248175183,-0.004265552485993109,-0.06754304857621442,0.1,0.29781021897810217,0.011635751098132455
AISA,1022370876.0000007,5889,0.014220689655172414,False,127,0.42333163525216505,0.25196850393700787,0.01354655582277159,-0.04320614033515745,0.05,0.3291338582677165,-0.006145701772943653
AKKU,299994.34663000004,3559,0.0256,False,98,0.3810059005338578,0.11224489795918367,-0.29286569604438806,-0.45743830008367675,0.1,0.21326530612244898,0.06654858092812786
AKPI,1000.9999999999998,6025,0.012794244604316548,False,145,0.44,0.2,-0.02969159517787666,-0.0469822551918373,0.15,0.2827586206896552,0.0001463919874089084
AKRA,32567891250.999966,5147,0.011482352941176471,False,130,0.5523605984068389,0.35384615384615387,0.0094827879466722,-0.029739288311479067,0.0,0.48423076923076924,0.013946714986369867
AKSI,285000.99999999994,4579,0.013600000000000001,False,77,0.3282376064642935,0.22077922077922077,0.04229259573345381,-0.030694045805347903,0.1,0.2525974025974026,0.020907753417262014
ALDO,73529701.0,3718,0.015297990666483071,False,87,0.5134480903711673,0.3103448275862069,0.0018646990111439838,-0.02244088700493529,0.0,0.3545977011494253,0.011013329796040116
ALII,1862125501.000001,604,0.01485925925925926,False,14,0.5298013245033113,0.42857142857142855,0.03465462668811806,-0.03208314238475942,0.0,0.4035714285714286,0.00441711550875393
ALKA,195301.00000000003,6119,0.01185,False,98,0.3230920084981206,0.2653061224489796,0.06710937719392142,-0.031028921568627493,0.0,0.2576530612244898,0.043151120446046735
ALMI,7625200.9999999935,4191,0.012266666666666667,False,112,0.49558577905034595,0.29464285714285715,0.003203126245892735,-0.0446990990990991,0.05,0.43973214285714285,0.0056868296015433915
ALTO,102323651.00000003,1672,0.0112657223796034,False,42,0.48086124401913877,0.11904761904761904,-0.01304877677694429,-0.024469042486721066,0.1,0.25595238095238093,-0.0023277542397113224
AMAG,24149801.000000026,5088,0.012544444444444445,False,135,0.5037342767295597,0.26666666666666666,0.0013142291669252942,-0.02544754174690209,0.0,0.37074074074074076,0.0018546253005342055
AMAN,151017000.99999994,1553,0.013664516129032259,False,39,0.48036059240180295,0.28205128205128205,0.0010275410991630529,-0.03366451304331537,0.25,0.36538461538461536,0.0038424005340293725
AMAR,286512350.9999999,1599,0.0132043192013237,True,34,0.45528455284552843,0.3235294117647059,0.034798959439223405,-0.02990001401823944,0.05,0.3161764705882353,-0.012607684530021621
AMFG,56951875.999999955,6015,0.007931002331002331,True,133,0.5035743973399833,0.3458646616541353,0.021344761858349364,-0.024690644333116657,0.05,0.412406015037594,0.0019540188479717255
AMIN,8957951.000000015,2627,0.014003361344537814,False,72,0.47011800532927295,0.25,-0.019022385980656222,-0.05897206125795749,0.1,0.4076388888888889,0.0018949269824239249
AMMN,233402286251.00006,751,0.009048275862068966,False,14,0.4540612516644474,0.42857142857142855,0.00447050288096118,-0.027350436766662045,0.05,0.4785714285714286,0.034465666661518665
AMMS,60052051.0000001,975,0.02733913043478261,False,18,0.41435897435897434,0.3888888888888889,0.0600815259370407,-0.0829513753327418,0.0,0.35555555555555557,0.02504112914548221
AMOR,27477001.0,1372,0.010575124378109452,True,30,0.4096209912536443,0.3,-0.018062973857668183,-0.047401425506572364,0.75,0.31333333333333335,-0.024688103759884138
AMRT,196312500.99999973,4330,0.013292307692307694,False,106,0.5020785219399538,0.24528301886792453,-0.0047180468289742,-0.03850954627089146,0.0,0.41226415094339625,0.008309012426804476
ANDI,16106951.000000017,1958,0.0256,True,29,0.29775280898876405,0.2413793103448276,-0.032794684521960805,-0.08115555555555558,0.6,0.23620689655172414,-0.0074968158220975805
ANJT,60993501.00000002,3260,0.010005286343612335,True,67,0.4539877300613497,0.3283582089552239,0.02022116730079078,-0.02523370042302578,0.1,0.3567164179104478,0.0014790708625932927
ANTM,46060843000.99992,5147,0.009320340480183691,False,97,0.4557994948513697,0.35051546391752575,0.02833475072645291,-0.03191912669611684,0.05,0.40309278350515465,0.024766047008058963
APEX,36341600.99999997,4579,0.008408988764044945,True,72,0.30268617602096526,0.2777777777777778,0.01336284896657804,-0.020105295193593498,0.75,0.2375,-0.003216634911867296
APIC,38374987.251090966,5561,0.015229147212332057,False,111,0.4094587304441647,0.21621621621621623,-0.053567350807492906,-0.034646622940487384,0.3,0.27207207207207207,0.0036535390729763436
APII,1656051.0000000002,3147,0.010754639175257732,False,97,0.4744200826183667,0.14432989690721648,-0.025828284682738064,-0.03158792510764183,0.15,0.31082474226804124,-0.008584375052186332
APLI,3255000.999999999,6471,0.01794567901234568,False,197,0.4679338587544429,0.15228426395939088,-0.0471680954677853,-0.046791903263417096,0.0,0.31725888324873097,-0.008422022517985408
APLN,2880562500.9999957,3882,0.010728205128205128,True,88,0.4750128799587841,0.3522727272727273,-0.0025802890626918625,-0.0400139113743396,0.35,0.38977272727272727,-0.008308984654047252
ARCI,2425988001.000004,1245,0.011005405405405407,True,24,0.4570281124497992,0.375,0.07325427388310668,-0.013878937150169142,0.25,0.4354166666666667,0.03004808005565634
AREA,1084362751.0000005,572,0.0121359477124183,False,14,0.5034965034965035,0.2857142857142857,0.015497580319379896,-0.06141895853389065,0.25,0.4607142857142857,0.06038063913918066
ARGO,1.0,5706,0.0106,True,32,0.16859446196985628,0.25,0.08494288434587055,-0.0106,0.1,0.1625,0.004694066740291413
ARII,18411101.000000007,3639,0.010197701149425288,False,94,0.4413300357241,0.24468085106382978,-0.007904549056618077,-0.04621870825476974,0.55,0.3627659574468085,-0.005542678253168461
ARKO,2218724751.000003,994,0.011171030640668524,False,22,0.48490945674044267,0.3181818181818182,0.195912574471647,-0.027048046769700775,0.0,0.47954545454545455,0.10804966803277782
ARMY,1896391400.9999983,469,0.012178947368421053,True,10,0.3752665245202559,0.1,-0.023080803379765986,-0.04517298036245403,0.5,0.325,-0.011382725759635661
ARNA,614372900.9999989,5146,0.00987807486631016,False,133,0.5198212203653323,0.3082706766917293,-0.005813009661595558,-0.03326994569937165,0.0,0.45338345864661656,0.009718956128303218
ARTA,712501.0000000002,5893,0.010538271604938271,False,131,0.44595282538605124,0.1984732824427481,0.02625509705442441,-0.03276054865523205,0.05,0.33396946564885494,0.01631554783319154
ARTI,19160000.999999985,3919,0.012379661016949152,True,79,0.396274559836693,0.26582278481012656,0.006275118447210217,-0.030236803874092055,0.5,0.25126582278481013,-0.005383353717663731
ARTO,5079744751.000003,2609,0.008523976608187135,False,62,0.4695285550019164,0.3225806451612903,0.13890853748437965,-0.03322707347387025,0.05,0.4459677419354839,0.06503166212773635
ASBI,1222100.9999999998,6439,0.01420215053763441,False,173,0.4933995962105917,0.1907514450867052,-0.027792404075925595,-0.04017634227840139,0.1,0.35028901734104045,0.00010908592515007867
ASDM,740751.0000000003,6007,0.010145454545454544,False,178,0.5228899617113367,0.2696629213483146,-0.011447248811394355,-0.030050351934757556,0.0,0.3851123595505618,0.007956075326813689
ASGR,394649500.9999994,5146,0.010863157894736842,False,124,0.5097162844928099,0.29838709677419356,0.015568701129960543,-0.028800792219708205,0.0,0.41774193548387095,0.009791214790389097
ASHA,1179247900.9999995,1023,0.023457142857142857,True,18,0.4066471163245357,0.2222222222222222,0.12156457415000713,-0.05336013315617279,0.75,0.3416666666666667,0.06633638692037604
ASII,170553087501.0001,6428,0.010316981132075471,False,151,0.5469819539514623,0.32450331125827814,0.023317873793114174,-0.02460255503301257,0.0,0.4870860927152318,0.01210900572672301
ASJT,316062.19370269775,5595,0.011405946754429165,False,90,0.33011617515638964,0.23333333333333334,0.004030666529009443,-0.03138414353795558,0.05,0.255,0.0056268987246753535
ASLC,1715287301.0000005,1099,0.016126315789473683,True,24,0.38034576888080074,0.25,-0.028419712596846742,-0.05678565644881431,0.8,0.34375,-0.023570983554584958
