freq,tier,w,start,end,years,eq,cagr,gross,basket,turnover,cost_yr,index,vs_index,rand,rand_sd,rand_gross,early,late
63,,equal,2000-03-30,2026-07-27,26.324435318275153,14.123833453165046,0.10581848746584765,0.12853493934300775,10.661290322580646,0.771263862071437,0.020240869122862958,0.1115480157059085,-0.005729528240060844,0.027189468748414186,0.023594455601048323,0.05488623913245119,0.09659812828563163,0.11716627725738493
63,,sqrt_tv,2000-03-30,2026-07-27,26.324435318275153,6.730802307198431,0.07511817826431577,0.09707521788583096,10.661290322580646,0.7624048014002869,0.020121775314192267,0.1115480157059085,-0.03642983744159273,0.019278929003867587,0.02246418085805804,0.04694866425170002,0.08000082793426144,0.0717261243732723
63,,tv,2000-03-30,2026-07-27,26.324435318275153,5.144757491643493,0.06419934754286039,0.08615773284426975,10.661290322580646,0.7677467882842195,0.02032274918808209,0.1115480157059085,-0.04734866816304811,0.014574187594516994,0.026402983507435158,0.04236041710880095,0.05938372760272048,0.07025528725326335
63,150.0,equal,2000-03-30,2026-07-27,26.324435318275153,4.9973623461224195,0.06302488496272196,0.08385857248676931,8.733333333333333,0.7758252395752395,0.01931953747930631,0.1115480157059085,-0.04852313074318654,0.005719895788884544,0.03054667699891712,0.0314733097829171,0.09659812828563163,0.03180216041780093
63,150.0,sqrt_tv,2000-03-30,2026-07-27,26.324435318275153,3.5216195689920253,0.04898526814784798,0.06938182076420407,8.733333333333333,0.7662046810215105,0.019167440117241804,0.1115480157059085,-0.06256274755806052,0.0028616748786957913,0.02635024510518888,0.02856479042241232,0.08000082793426144,0.019906131414987094
63,150.0,tv,2000-03-30,2026-07-27,26.324435318275153,2.826296989245896,0.04025699504497893,0.06057317232166248,8.733333333333333,0.7671951769533002,0.019247497440172158,0.1115480157059085,-0.07129102066092957,-0.0025573403303263964,0.028004470822693476,0.02311557190101779,0.05938372760272048,0.02231328075459804
63,100.0,equal,2000-03-30,2026-07-27,26.324435318275153,2.536486408367431,0.03599054417104708,0.052278031936772384,7.020408163265306,0.7942419825072885,0.015528907198045255,0.1115480157059085,-0.07555747153486142,-0.010810563924193717,0.020847615352806544,0.009202710451533189,0.08557010320937342,-0.010459578535692016
63,100.0,sqrt_tv,2000-03-30,2026-07-27,26.324435318275153,2.3923205603085407,0.03369022234299868,0.04922139934770464,7.020408163265306,0.7568815398431458,0.014846843755615999,0.1115480157059085,-0.07785779336290982,-0.012485451161564173,0.02466985898215279,0.00754355529938204,0.0741702115459959,-0.004473405671099329
63,100.0,tv,2000-03-30,2026-07-27,26.324435318275153,2.2232435067767162,0.03081606112832369,0.046098256152706796,7.020408163265306,0.7453537765066116,0.014648964456805906,0.1115480157059085,-0.08073195457758481,-0.01678824864626695,0.030020652605281258,0.0033100003632865332,0.05765572644297223,0.005345187455073397
63,60.0,equal,2000-03-30,2026-07-27,26.324435318275153,2.0151145801828494,0.02697434015830069,0.033890319547603465,5.333333333333333,0.8396825396825397,0.006682270232755222,0.1115480157059085,-0.08457367554760781,-0.0011624061416417447,0.027033676974064877,0.006967563275893027,0.08461243586782397,-0.026873291364576835
63,60.0,sqrt_tv,2000-03-30,2026-07-27,26.324435318275153,1.604001639852737,0.018111215474008624,0.024751174101007134,5.333333333333333,0.8144674964772652,0.00647285121000974,0.1115480157059085,-0.09343680023189987,0.00018009357637950585,0.026935701453708293,0.008362306563844069,0.06310798538345352,-0.024460317086016592
63,60.0,tv,2000-03-30,2026-07-27,26.324435318275153,1.316537997181908,0.01050153725516978,0.016974240321816714,5.333333333333333,0.799042805909202,0.006357575820478858,0.1115480157059085,-0.10104647845073872,-0.0002160616386328723,0.028511979162737823,0.008032899426690332,0.04414243576432808,-0.021717387940306643
63,40.0,equal,2000-03-30,2026-07-27,26.324435318275153,1.1781163179307403,0.006246220260799795,0.006783857189061049,5.0,0.75,0.0005321556652372708,0.1115480157059085,-0.1053017954451087,-0.0006072531361265288,0.005186618805639358,-3.1081200583690793e-05,0.014907874545241784,-0.0021862821662214094
63,40.0,sqrt_tv,2000-03-30,2026-07-27,26.324435318275153,1.0699184182223238,0.002570586077884629,0.0031062591163621978,5.0,0.7499999999999999,0.0005321556652372708,0.1115480157059085,-0.10897742962802387,0.0010931214697027652,0.005265375583149047,0.0016737034099698622,0.007044023545534017,-0.001814728776830643
63,40.0,tv,2000-03-30,2026-07-27,26.324435318275153,0.9452745391565759,-0.0021356491383930365,-0.001602490639393217,5.0,0.75,0.0005321556652372708,0.1115480157059085,-0.11368366484430154,0.0021461718526554624,0.00658304749350988,0.0027303522480990883,-0.0028219099474239284,-0.001491879856313827
