slots,cagr,sd,trades,total,index
1,0.12316659871927786,0.11602120315923724,4,0.2976501211666731,0.14924506285102396
2,0.10875915196353887,0.07359717829422022,10,0.8562228383320196,0.14924506285102396
4,0.13343876727675966,0.05419080788523621,30,4.247222504914816,0.14924506285102396
8,0.11928182781773654,0.02758034106389572,75,47.00760574957495,0.14924506285102396
16,0.09759348767275709,0.015664586481250808,137,8.808929223986397,0.14924506285102396
32,0.06719414221015262,0.01698767729923492,206,4.068873077366792,0.14924506285102396
