rule,trades,win,give_back,gb_mean,bars,mean,in_mkt,cagr,hold,names,reentry
drop -6%,4683,0.4238735853085629,0.11636384682374269,0.13752603566404895,61.384368994234464,0.08019969046315163,0.4286608997520157,0.0821840159324301,0.1306493529329248,231,live
RANDOM ~ 2x ATR down,2620,0.5103053435114504,0.12424057092919441,0.17644199375232966,143.3148854961832,0.17869752727642235,0.5599181040460359,0.04270547188749185,0.1306493529329248,231,live
3day -8%,4777,0.39941385806991836,0.125000132439276,0.13697644118759417,53.10069081013188,0.07576267713884426,0.3782573101682506,0.0836720568404821,0.1306493529329248,231,live
vol climax,2747,0.46923917000364035,0.12676051406511754,0.17795046004662066,123.3520203858755,0.19438250377214322,0.5052855099931853,0.047805737544386405,0.1306493529329248,231,live
2x ATR down,2434,0.4745275267050123,0.1526873447918254,0.20037249031235937,148.82703368940017,0.2151044450033088,0.5401747968631405,0.05869291242891187,0.1306493529329248,231,live
drop -8%,2833,0.45958348040945995,0.15833333333333333,0.19213817483850948,121.50829509354041,0.16745125148327117,0.5133155484508811,0.0794324065563416,0.1306493529329248,231,live
trail 15%,3810,0.4010498687664042,0.16310783922538297,0.16543841041799712,62.79186351706037,0.1017512097694514,0.35674694716875904,0.07453734439836651,0.1306493529329248,231,live
3day -12%,2781,0.44660194174757284,0.1853932584269663,0.20230779914772287,118.25314635023373,0.15232968333934538,0.49039452317079907,0.07599378428141969,0.1306493529329248,231,live
trail 25%,2340,0.4311965811965812,0.2582852936600625,0.22599616420238738,126.1025641025641,0.2155656262734332,0.44001926612755315,0.07881754321672757,0.1306493529329248,231,live
RANDOM ~ close < EMA20,6984,0.38903207331042383,0.021195335142241027,0.04348513816105791,12.162371134020619,0.006229424633915889,0.12666435035721368,0.0013851434818317326,0.1306493529329248,231,edge
RANDOM ~ drop -4%,5405,0.42756706753006474,0.034482970721660657,0.07019718371749978,30.38686401480111,0.02441832847979921,0.2449139361802069,0.012309834584898273,0.1306493529329248,231,edge
RANDOM ~ hull55 +1bar,5968,0.4509048257372654,0.04141510450215272,0.06897352196820238,22.63220509383378,0.021622025246879294,0.20141304817873956,0.008569811520247633,0.1306493529329248,231,edge
close < EMA20,8464,0.25578922495274103,0.05093833420909352,0.06293220793098599,12.334002835538753,0.024754354357005785,0.1556723982899075,0.04702329065116124,0.1306493529329248,231,edge
RANDOM ~ 3day -8%,4083,0.4589762429586089,0.055248504791862066,0.10311658117392683,57.821699730590254,0.057434937094803906,0.3520482190015911,0.020106454526090896,0.1306493529329248,231,edge
RANDOM ~ drop -6%,3673,0.46555948815682,0.06086066851401993,0.11251933160647197,71.62020147018785,0.07815620625964384,0.392272970607226,0.028141131892449905,0.1306493529329248,231,edge
