n,names,median_tv,median_px,vol_ann,skew,zero_days,ar1,half_spread,round_trip,bucket
467199,648,745226.8131828306,187.0,0.8973911916947023,-4.072714209177048,0.42130227162301287,-0.08616392858098533,0.01380009870881807,0.01940009870881807,0
463441,771,18392101.000000022,215.0,0.6989829353522246,0.4385032517170098,0.34267792448229656,-0.07109331992420496,0.011658345276238252,0.017258345276238252,1
463438,841,152046545.96215445,218.0,0.655698357647322,-17.52187029636137,0.30573884748337427,-0.034251584553479555,0.010171778729317068,0.01577177872931707,2
463441,813,1432506125.9999998,320.0,0.5836006291087465,0.5841737460936774,0.2427881866300133,-0.026815791695516764,0.008497525209416235,0.014097525209416234,3
465877,558,20151011900.999985,1025.0,0.5362894707730901,-4.362861672419717,0.153607067959998,0.025273779544421775,0.005417316601603977,0.011017316601603978,4
