slots,model,model_sd,rand_mean,rand_sd,p5,p95,pctile,index
4,-0.0038127477849613234,0.0,0.03138923794463146,0.05941454946597822,-0.061330054113267925,0.11409585728849123,0.3,0.09919236815476123
8,0.1288204061316398,0.0,0.05396670163956534,0.0493316327646907,-0.030792491522055012,0.11798341625974844,0.9666666666666667,0.09919236815476123
16,0.043733986278318815,0.0,0.060085802926536425,0.03309508615662777,0.02315854944596838,0.12581181500957178,0.4,0.09919236815476123
32,0.11506264541880928,0.0,0.04923484512016182,0.026631775239805294,0.015987685086359338,0.09261614159183611,1.0,0.09919236815476123
