ticker,bars,span,tv,cost,trades,in_mkt,rule,hold,start,end,rule_early,hold_early,rule_late,hold_late,edge
AADI,409,1.623015873015873,94427166250.99998,0.008794888178913739,9,0.5525672371638142,0.34085874464439825,0.40609827239548824,2024-12-05,2026-08-28,,,0.34085874464439825,0.40609827239548824,-0.06523952775108999
AALI,6307,25.02777777777778,13658842501.000021,0.007862443438914027,146,0.531155858569843,0.06717599934263019,0.15321525511437373,2001-04-05,2026-08-28,0.19338601875279715,0.3909450136573187,-0.03380843904688946,-0.03464661222983734,-0.08603925577174354
ABBA,3258,12.928571428571429,1779501.0000000007,0.016352688172043012,76,0.39594843462246776,-0.2969004085128808,-0.08198369131956573,2005-09-29,2019-04-08,-0.37483827931311786,-0.14974070699800746,-0.18357130462164895,0.012058511654145398,-0.21491671719331507
ABDA,6171,24.488095238095237,1.0,0.008541176470588236,123,0.4997569275644142,-0.001817663974945538,0.166884157498556,2001-10-12,2026-08-28,0.15840788259198746,0.399614137472718,-0.1127139240872651,-0.010868872017322895,-0.16870182147350155
ABMM,3620,14.365079365079366,55248751.0,0.009303703703703703,98,0.4740331491712707,-0.19775149744035414,0.0049484585591415,2011-12-06,2026-08-28,-0.13868898584019473,-0.1626232020508832,-0.20454439617815767,0.027133769500296223,-0.20269995599949564
ACES,4612,18.3015873015873,10849414750.999992,0.012266666666666667,109,0.5197311361665221,-0.04400302846510673,0.10111649790826593,2007-11-06,2026-08-28,0.3012590854037931,0.46107793011755027,-0.16192908504144832,-0.02517099140674428,-0.14511952637337266
ACRO,623,2.4722222222222223,341235201.0000005,0.01858701298701299,16,0.4317817014446228,-0.3273977167474056,-0.18517736883501912,2024-01-11,2026-08-28,,,-0.3273977167474056,-0.18517736883501912,-0.14222034791238647
ACST,3238,12.84920634920635,475941544.29199207,0.014504956654101678,67,0.42063001852995674,-0.05846763015377898,-0.19317739269197376,2013-06-24,2026-08-28,,,-0.058555352756279544,-0.20026216026726018,0.13470976253819478
ADES,6287,24.9484126984127,57062501.00000004,0.009732231404958679,144,0.46349610306982664,0.17503261016476523,0.14348615073362248,2001-05-03,2026-08-28,0.3605454901311842,0.09700671703788721,0.023084676034923035,0.1853160946409702,0.03154645943114276
ADHI,5538,21.976190476190474,6972943801.000007,0.013171570379927944,116,0.4624413145539906,0.08873763250544608,0.01432787467956187,2004-03-18,2026-08-27,0.4009122608173088,0.4121256200126009,-0.09025251274014001,-0.1982091460738371,0.07440975782588422
ADMF,5528,21.936507936507937,60320001.000000015,0.009698360655737705,107,0.43216353111432704,0.06160343611932784,0.17579295290106223,2004-03-31,2026-08-28,0.14359743155493399,0.2607990654905843,0.006991733569906122,0.11999642732222426,-0.11418951678173439
ADMG,5985,23.75,180165000.9999998,0.01070204081632653,137,0.4456140350877193,-0.008267869971011588,0.023544274325114856,2002-07-01,2026-08-28,0.023030204671611765,0.04722360898817968,-0.0341538895217125,0.003810247526083055,-0.03181214429612644
ADMR,1115,4.424603174603175,45653711126.000046,0.009290036900369003,26,0.4609865470852018,-0.012721518570916523,0.8054662244941135,2022-01-03,2026-08-28,,,-0.012721518570916523,0.8054662244941135,-0.8181877430650301
ADRO,4447,17.646825396825395,75464018500.99986,0.008603003003003002,108,0.5367663593433776,0.07758360682859777,0.12663040269470582,2008-07-16,2026-08-28,0.18394834549704564,-0.1151052475898875,0.040117399620172245,0.23712860243789646,-0.04904679586610805
AEGS,707,2.8055555555555554,250958850.99999982,0.02832727272727273,15,0.43988684582743987,-0.0885426346166136,-0.22779079940130975,2023-09-11,2026-08-28,,,-0.0885426346166136,-0.22779079940130975,0.13924816478469615
AGAR,1624,6.444444444444445,2298300.999999999,0.012334006734006734,41,0.3620689655172414,0.020213063634344275,0.4222459376926555,2019-12-02,2026-08-27,,,0.020213063634344275,0.4222459376926555,-0.40203287405831123
AGII,2441,9.686507936507937,300572001.0000001,0.009929004329004329,50,0.3969684555510037,0.13268287940297174,0.1015248366748176,2016-09-28,2026-08-28,,,0.13268287940297174,0.1015248366748176,0.031158042728154145
AGRO,5471,21.71031746031746,369855678.76101655,0.015152478286244348,97,0.36483275452385305,0.09536369983979442,0.0195080128610714,2004-06-18,2026-08-28,-0.021848129879572187,0.012006213945721322,0.18463124085276372,0.024097322183102454,0.07585568697872302
AGRS,2865,11.369047619047619,63171354.15777578,0.016328959768447258,76,0.39092495636998253,-0.1252548036562391,-0.06504891431252491,2014-12-22,2026-08-28,,,-0.1252548036562391,-0.06504891431252491,-0.06020588934371418
AHAP,5670,22.5,1349991.654903412,0.021729032258064516,150,0.47354497354497355,-0.29774561702408975,0.03630451985359873,2003-09-15,2026-08-28,-0.20475575118667,0.04470036370375241,-0.36058139631759634,0.02793708588403665,-0.3340501368776885
AIMS,6231,24.726190476190474,510000.9999999998,0.012266666666666667,137,0.39897287754774513,-0.20923832596716696,0.002195258600873329,2001-07-20,2026-08-28,-0.22551484575824832,-0.0923236811689665,-0.20048938012048345,0.1005437039860968,-0.2114335845680403
AISA,5889,23.36904761904762,1022370876.0000007,0.014220689655172414,127,0.42333163525216505,-0.036112581497250607,-0.0034746286095342915,2002-11-12,2026-08-28,-0.00454976493271253,0.2411644251109235,-0.06129210279554054,-0.1679238120627844,-0.032637952887716315
AKKU,3559,14.123015873015873,299994.34663000004,0.0256,98,0.3810059005338578,-0.9715468003490474,0.039948927514782406,2004-11-01,2019-04-08,-0.9972929346988508,0.14653783994507008,-0.07091305172599616,-0.10005541114613503,-1.0114957278638297
AKPI,6025,23.908730158730158,1000.9999999999998,0.012794244604316548,145,0.44,-0.25850893491868776,0.04135687903548635,2002-05-06,2026-08-28,-0.12836733464864591,0.12135012838259218,-0.3551513477565915,-0.023117677093886124,-0.2998658139541741
AKRA,5147,20.424603174603174,32567891250.999966,0.011482352941176471,130,0.5523605984068389,0.01691482956728252,0.2326221122086929,2005-09-29,2026-08-28,0.23450904196017208,0.5672184727083143,-0.09336856185603204,0.06925806274488266,-0.21570728264141037
AKSI,4579,18.17063492063492,285000.99999999994,0.013600000000000001,77,0.3282376064642935,-0.015480730090376427,0.049128531571771994,2007-12-28,2026-08-28,0.028720777514135598,0.04026260326490583,-0.03331849900899719,0.052841938882117745,-0.06460926166214842
