hor,arm,n,pos,mean,median,ann,indep,goal
252,all,303029,0.46684640743955197,0.05736084912626566,-0.027920729081960388,-0.053164767891831,1837.4028461959497,False
252,trend,178822,0.47278858306024985,0.059687299001750814,-0.022967316985854816,-0.050656856878633416,1721.4203612479475,False
504,all,279344,0.4630849418637952,0.10603364906934701,-0.043413635176165595,-0.04762479310155332,830.9277504105091,False
504,trend,166885,0.47948587350570754,0.11016751302280073,-0.023638655670774167,-0.04116065695007409,780.244937055282,False
1260,all,204237,0.49316725177122656,0.34919225100883294,-0.014561749597898858,-0.03181358100974585,242.4214559386973,False
1260,trend,125782,0.5054459302602916,0.36437982525574936,0.01107802105937365,-0.03052432131692895,231.0536398467433,False
2520,all,117696,0.5286755709624796,1.1064850945831959,0.09664912600326195,-0.014232090823618204,64.77504105090311,False
2520,trend,76774,0.521895433349832,1.0479012684222158,0.06793226028078428,-0.0146078666325683,60.649698960043786,False
