model,fee,sm,cost_yr,cagr,index,vs,rand
"fees only, PERFECT passive fills",0.0056,0.0,0.010172404827438052,0.1170876852191225,0.1115480157059085,0.005539669513213996,0.04222414854270514
fees + HALF a tick (patient),0.0056,0.5,0.015206636975150506,0.11144575971137716,0.1115480157059085,-0.00010225599453134171,0.034913399238394836
fees + a FULL tick (my default),0.0056,1.0,0.020240869122862958,0.10581848746584765,0.1115480157059085,-0.005729528240060844,0.02763092343453466
institutional fees + half tick,0.0015,0.5,0.007758983440776215,0.1197969278436386,0.1115480157059085,0.008248912137730102,0.044425986620959125
