slots,half,model,rand,rand_sd,pctile,index,both
4,early,0.02993560513288762,0.07779975519517736,0.07422313768273137,0.23333333333333334,0.1338566034325412,
4,late,0.28152030643731907,0.017753154912376157,0.0693915765742312,1.0,0.052893241958307864,False
8,early,0.11324476497275748,0.10777171385460287,0.059777422578578265,0.6,0.1338566034325412,
8,late,0.19517407470937864,0.02829820752053375,0.05953361184045519,1.0,0.052893241958307864,True
16,early,0.08292665464610693,0.10461152482161504,0.042466176569831836,0.3,0.1338566034325412,
16,late,0.12100725176920846,0.04057488825507778,0.046284624507534906,0.9666666666666667,0.052893241958307864,False
32,early,0.1269013125865588,0.07929725042877407,0.04169545831414641,0.9,0.1338566034325412,
32,late,0.09691358769577141,0.04771356973113949,0.025634072662262846,0.9666666666666667,0.052893241958307864,True
