feat,h,bucket,ic,t,early,late,n_days
mom12_1,fwd5,0,0.00021984773683521433,0.06350032015615967,-6.018336440488737e-05,0.0008388880432418033,5869
mom12_1,fwd5,1,0.01988255784486549,5.122753300736344,0.021128935434052323,0.01708025374663907,5938
mom12_1,fwd5,2,0.026690388974770447,6.0860072650984165,0.023715454148556032,0.03329936617895904,5889
mom12_1,fwd5,3,0.022275328869569247,4.3330823871254065,0.02697792044045376,0.011872002659144223,5872
mom12_1,fwd5,4,0.02162752113961702,3.5742716295646426,0.028313855075134144,0.006572296588966853,5944
hi52,fwd5,0,-0.005124894119684257,-1.370863667157413,-0.012161490926698887,0.011219411155252355,6074
hi52,fwd5,1,0.02297686477910501,5.766659103540325,0.01436622459775025,0.04296786966404459,6072
hi52,fwd5,2,0.04562882539217578,9.020739085518194,0.03856136651951587,0.06197522370377647,6056
hi52,fwd5,3,0.06346299941022174,11.795322368993954,0.057327574244548846,0.07745230580547592,5996
hi52,fwd5,4,0.04698083367354657,7.794708217463822,0.047665420034048916,0.045386211833820675,6086
pastret1,fwd5,0,-0.03602844713987471,-12.341188360177263,-0.04245527881961808,-0.020829763687177434,6151
pastret1,fwd5,1,-0.02808801722782395,-12.36676615693124,-0.03582668062582455,-0.009863210921263441,6133
pastret1,fwd5,2,-0.013723197080267388,-5.533392441105994,-0.01867864444507527,-0.0020556667421201586,6132
pastret1,fwd5,3,-0.003052249477976048,-1.2526584165491952,-0.007032013073032315,0.0063180473016312645,6132
pastret1,fwd5,4,-0.01603411009692738,-6.547966806595743,-0.022659066432372716,-0.0003813822999971872,6147
pastret5,fwd5,0,-0.04663809969548817,-12.810385342593763,-0.050568760084567024,-0.0373404106788706,6152
pastret5,fwd5,1,-0.030145741065783726,-8.62803235476913,-0.03726254529870147,-0.0133815402851799,6134
pastret5,fwd5,2,-0.010521137753514865,-2.753567044500614,-0.017757079833007876,0.006519743347260522,6133
pastret5,fwd5,3,0.005866152835488968,1.4385620044080598,-0.00011063821254227276,0.019941691928363415,6133
pastret5,fwd5,4,-0.007953176800465547,-1.9394787013136159,-0.016824108639699537,0.013010950959649789,6148
rev1,fwd5,0,-0.039098876832405684,-9.602120113729919,-0.043929854518663616,-0.027671553246311986,6152
rev1,fwd5,1,-0.011660710979930607,-2.900951801556499,-0.019729420337014053,0.007345778348078876,6134
rev1,fwd5,2,0.008941522407577954,1.953812007902138,0.007404599049884255,0.01256102736100868,6133
rev1,fwd5,3,0.026737979234331903,5.653974545836978,0.024587138795401548,0.03180327906452618,6133
rev1,fwd5,4,0.022747281908447898,4.600235166038587,0.024536684885075717,0.01851849588053094,6148
rev5,fwd5,0,0.045978847151754584,12.794335340121044,0.050101943599996146,0.036225964743550824,6152
rev5,fwd5,1,0.03175369000821281,9.130017031971484,0.03971892832143931,0.012990934988107066,6134
rev5,fwd5,2,0.010199025844554534,2.6991381708883657,0.017258428678656578,-0.006426099538820365,6133
rev5,fwd5,3,-0.005922710861615541,-1.458856047673558,-0.00020711547706419312,-0.019383125593833022,6133
rev5,fwd5,4,0.008106168768366158,1.9691712276026931,0.01679240885661719,-0.012421488332971069,6148
lowvol,fwd5,0,0.029474953448023502,7.587975231765921,0.018021788524177285,0.056566575510775714,6152
lowvol,fwd5,1,0.04538122188954972,11.467921455644284,0.035225302692939504,0.06930430069731974,6134
lowvol,fwd5,2,0.060936315819735395,13.533477399714215,0.05473937152517136,0.0755303230342311,6133
lowvol,fwd5,3,0.05815888465061244,11.825506733934265,0.048113872472666554,0.08181521803466986,6133
lowvol,fwd5,4,0.039993580170148396,7.76269571742834,0.03309570365628328,0.05629490759897623,6148
volz20,fwd5,0,-0.007578975088410041,-2.2847323457335613,-0.0015368769264945327,-0.021619912173649156,6076
volz20,fwd5,1,-0.015528308801299188,-4.3070130983707555,-0.008449570254633314,-0.031962754311173354,6072
volz20,fwd5,2,-0.0015245637318176233,-0.38582262135057555,0.0050529611464445725,-0.016741386877425293,6057
volz20,fwd5,3,-0.002309287736205305,-0.6123887339121852,0.0018914876046409255,-0.011889721213222772,5997
volz20,fwd5,4,0.013684012363100073,2.9770524251466046,0.019909466513939156,-0.000820478462076979,6087
amihud60,fwd5,0,-0.013766762653214975,-3.064608623416011,-0.010867837368613723,-0.02016882029759969,5865
amihud60,fwd5,1,-0.008364406884013555,-2.307362452781597,-0.0059532354992217346,-0.01403619952876455,6128
amihud60,fwd5,2,-0.019633338464901704,-5.5204435964713845,-0.016508714139882065,-0.026990221996020167,6132
amihud60,fwd5,3,-0.029617727916029398,-7.923827913350089,-0.019619776431873407,-0.053163231821549944,6133
amihud60,fwd5,4,-0.03699185347279752,-8.55764828981554,-0.03580467498992915,-0.03979743938417133,6148
