cell,n,win,pos,mean,median,bars,ann,timeout,yrs_ge4,n_yr,hits_A,hor,arm,tp_k,sl_k
NO tp / sl 1s,194777,0.0,0.4300969827032966,-0.006171702788242446,-0.016016671187458444,18.388793338022456,-0.1866816281130842,0.7388243991847087,0.0,26,False,21,trend,,1.0
NO tp / sl 2s,329849,0.0,0.4434150171745253,-0.005536143631902545,-0.012520441268770064,20.557248922992034,-0.17201080682557135,0.9422735857922868,0.07407407407407407,27,False,21,all bars,,2.0
NO tp / sl 2s,194777,0.0,0.4484102332410911,-0.0033624938029318935,-0.010742755074976363,20.634956899428577,-0.14740046377796978,0.9520477263742639,0.038461538461538464,26,False,21,trend,,2.0
tp 0.25s / sl 0.5s,325145,0.6506204923957004,0.6525550139168679,-0.01415191706151364,0.02684554241294756,11.981669716587984,-0.32480737317810493,0.01612818896184779,0.0,27,False,63,all bars,0.25,0.5
tp 0.25s / sl 0.5s,193424,0.6571004632310364,0.6588634295640665,-0.013626413814156088,0.02696934483091632,12.17356687898089,-0.3141856598121733,0.01635784597568037,0.0,26,False,63,trend,0.25,0.5
tp 0.25s / sl 1s,325145,0.740617263067247,0.7454089713819988,-0.01428277502009574,0.030464696288327105,19.3304064340525,-0.25122868482172933,0.09304771717233849,0.037037037037037035,27,False,63,all bars,0.25,1.0
tp 0.25s / sl 1s,193424,0.7421778062701629,0.7469341963768715,-0.01354724889839613,0.030405630635484123,19.88688063528828,-0.23749687075827997,0.10257258664901978,0.0,26,False,63,trend,0.25,1.0
tp 0.25s / sl 2s,325145,0.7627981362161497,0.768377185563364,-0.012705332836916746,0.031023763598223175,23.868698580633257,-0.2176953231115416,0.20303556874625167,0.037037037037037035,27,False,63,all bars,0.25,2.0
tp 0.25s / sl 2s,193424,0.7594197204069816,0.7649877988253785,-0.011565416337565613,0.030835831927594447,24.23595313921747,-0.1989609380046552,0.21403755480188602,0.0,26,False,63,trend,0.25,2.0
tp 0.5s / sl 0.5s,325145,0.4782543173045872,0.4994387119592797,-0.012533266415335264,-0.0012905546780667757,20.209857140660322,-0.2233664362112905,0.05950883451998339,0.07407407407407407,27,False,63,all bars,0.5,0.5
tp 0.5s / sl 0.5s,193424,0.48344052444370916,0.5050355695260154,-0.01274841317204357,0.011494002358946948,20.608507734303913,-0.22227170724145529,0.05982194557035321,0.0,26,False,63,trend,0.5,0.5
tp 0.5s / sl 1s,325145,0.558455458333974,0.5967214627320119,-0.01256954835589749,0.05129637075238984,31.176432053391565,-0.1850671150369615,0.21168401789970628,0.1111111111111111,27,False,63,all bars,0.5,1.0
tp 0.5s / sl 1s,193424,0.5584312184630656,0.5986899247249565,-0.012344314490520477,0.05034710495147987,32.05804863925883,-0.17864174094797536,0.22754156671354123,0.038461538461538464,26,False,63,trend,0.5,1.0
tp 0.5s / sl 2s,325145,0.5770563902258992,0.6200833474296084,-0.010464439091192396,0.053985727897824645,37.270737670885296,-0.1654290089580669,0.37660428424241493,0.14814814814814814,27,False,63,all bars,0.5,2.0
tp 0.5s / sl 2s,193424,0.5723126395897097,0.6173949458185127,-0.009473042918394948,0.052293336987906905,37.83919265447928,-0.15154402682711843,0.39216953428736867,0.11538461538461539,26,False,63,trend,0.5,2.0
tp 1s / sl 0.5s,325145,0.2725399437174184,0.38200495163696196,-0.008751085859783665,-0.07424686410440849,30.234716818650142,-0.1595880925540618,0.17920620031063064,0.18518518518518517,27,False,63,all bars,1.0,0.5
tp 1s / sl 0.5s,193424,0.2804822565969063,0.3915749855240301,-0.007818618007311642,-0.07204161632544093,30.590500661758625,-0.15370104327235257,0.17858176854992142,0.07692307692307693,26,False,63,trend,1.0,0.5
tp 1s / sl 1s,325145,0.31605283796460043,0.47699334143228406,-0.0077909775780212,-0.013292259390874937,43.889203278537266,-0.13941962114770134,0.415322394623937,0.2222222222222222,27,False,63,all bars,1.0,1.0
tp 1s / sl 1s,193424,0.3220282901811564,0.4862736785507486,-0.005914156974975404,-0.008188063014279587,44.584761973695095,-0.1289562985889382,0.4281836793779469,0.19230769230769232,26,False,63,trend,1.0,1.0
tp 1s / sl 2s,325145,0.3248519891125498,0.49909425025757737,-0.005414415207922653,-0.0005580671028703917,50.916726383613465,-0.12907094988313506,0.621101354780175,0.25925925925925924,27,False,63,all bars,1.0,2.0
tp 1s / sl 2s,193424,0.3287699561584912,0.5046840102572586,-0.0026099910305968487,0.0022739659406961037,51.180293034990484,-0.11207419452083511,0.6292704111175449,0.19230769230769232,26,False,63,trend,1.0,2.0
tp 2s / sl 0.5s,325145,0.09166064371280505,0.3461163480908518,-0.003165620115416101,-0.07832727272727272,37.04229497608759,-0.12468823610861579,0.3357794214888742,0.2962962962962963,27,False,63,all bars,2.0,0.5
tp 2s / sl 0.5s,193424,0.09748531723054016,0.3554677806270163,-0.0009439557115478465,-0.07707337045711374,37.42953821656051,-0.11547741158537606,0.335609851931508,0.23076923076923078,26,False,63,trend,2.0,0.5
tp 2s / sl 1s,325145,0.1033477371634194,0.4409970936043919,-0.0015451710346700434,-0.02931540845298683,51.73942394931492,-0.11356607304819633,0.617226160636024,0.3333333333333333,27,False,63,all bars,2.0,1.0
tp 2s / sl 1s,193424,0.10874038382000166,0.4515106708578046,0.0019479911408672094,-0.023781909503278673,52.425774464389114,-0.10003095096458481,0.630630118289354,0.3076923076923077,26,False,63,trend,2.0,1.0
tp 2s / sl 2s,325145,0.10591274662073843,0.4631195312860416,0.0010786548262849932,-0.0156,59.05029140844854,-0.10668895046112115,0.8378969382890711,0.37037037037037035,27,False,63,all bars,2.0,2.0
tp 2s / sl 2s,193424,0.11101000909918107,0.4704121515427248,0.005687808039139504,-0.012711546136293545,59.27732339316734,-0.08656464071208159,0.8450037223922574,0.34615384615384615,26,False,63,trend,2.0,2.0
NO tp / sl 0.5s,325145,0.0,0.3422965138630457,-0.00035685940629536634,-0.07869891024157452,39.393661289578496,-0.11809289084756525,0.42476741146257824,0.2962962962962963,27,False,63,all bars,,0.5
NO tp / sl 0.5s,193424,0.0,0.3512128794772107,0.0018507482942565021,-0.07757942066518968,39.89810985193151,-0.11020558239234624,0.430008685581934,0.3076923076923077,26,False,63,trend,,0.5
NO tp / sl 1s,325145,0.0,0.43734949022743697,0.001772378255602868,-0.030704967307517404,54.31400759661074,-0.10797103580822642,0.7192329576035308,0.2962962962962963,27,False,63,all bars,,1.0
NO tp / sl 1s,193424,0.0,0.44754528910579866,0.0051129688935451795,-0.02533690334806258,55.11125299859376,-0.09592636677095234,0.7379539250558359,0.34615384615384615,26,False,63,trend,,1.0
NO tp / sl 2s,325145,0.0,0.45959494994540895,0.00454584052397978,-0.016940206185566974,61.6780298020883,-0.1015471767087146,0.943400636639038,0.37037037037037035,27,False,63,all bars,,2.0
NO tp / sl 2s,193424,0.0,0.46650363967242947,0.009081411769003709,-0.01400775413687008,62.01086214740673,-0.08281644432732094,0.9555277525022748,0.38461538461538464,26,False,63,trend,,2.0
tp 0.25s / sl 0.5s,317301,0.6596134269983391,0.6618069278067198,-0.01132702726343303,0.04268754473286665,22.50557672367878,-0.19590701055090287,0.016533197185007297,0.07407407407407407,27,False,126,all bars,0.25,0.5
tp 0.25s / sl 0.5s,189045,0.663249490861964,0.665830886825888,-0.011711683009447211,0.04245597721511388,23.133439128249886,-0.19663039182849074,0.018831495146658203,0.0,26,False,126,trend,0.25,0.5
tp 0.25s / sl 1s,317301,0.7500386068748601,0.7552387165499006,-0.011535846964464032,0.047455240546767447,37.314991128297734,-0.16546535752609604,0.09324899700914904,0.1111111111111111,27,False,126,all bars,0.25,1.0
tp 0.25s / sl 1s,189045,0.7476897035097464,0.7539210240947922,-0.012112732337155553,0.04690448558766269,39.05397127668016,-0.1624524970697857,0.10880478193022826,0.07692307692307693,26,False,126,trend,0.25,1.0
tp 0.25s / sl 2s,317301,0.7693325895600707,0.7754245968339211,-0.010714769971882155,0.048023232571243135,45.8449484873984,-0.15954047816355388,0.19879546550436336,0.18518518518518517,27,False,126,all bars,0.25,2.0
tp 0.25s / sl 2s,189045,0.7627443201354175,0.76988547700283,-0.010708128446814014,0.04730071887184087,46.93544923166442,-0.1519426338840829,0.21357877753973922,0.11538461538461539,26,False,126,trend,0.25,2.0
tp 0.5s / sl 0.5s,317301,0.488312359557644,0.5091254045842907,-0.0071939529512865955,0.032861538461538525,38.57637070163662,-0.1310265659489106,0.05739975606758252,0.18518518518518517,27,False,126,all bars,0.5,0.5
tp 0.5s / sl 0.5s,189045,0.49341162157158347,0.5146076331032294,-0.008298280737341308,0.04176491723509956,39.35302176730408,-0.1357624828739512,0.059541379036737285,0.07692307692307693,26,False,126,trend,0.5,0.5
tp 0.5s / sl 1s,317301,0.5721066117030832,0.6097963763114519,-0.007581229804600131,0.07912027737066987,60.734104210197884,-0.126015583412887,0.20653259838449925,0.25925925925925924,27,False,126,all bars,0.5,1.0
tp 0.5s / sl 1s,189045,0.5717897855008067,0.6108069507260177,-0.008466488655636754,0.07716559469272015,62.736121029384535,-0.12507807524986303,0.22649104710518658,0.19230769230769232,26,False,126,trend,0.5,1.0
tp 0.5s / sl 2s,317301,0.5886933857756516,0.6313059208763918,-0.006633759987961168,0.08224281428031668,72.4191792651142,-0.1284578638528454,0.3672475031594606,0.3333333333333333,27,False,126,all bars,0.5,2.0
tp 0.5s / sl 2s,189045,0.5847020550662541,0.6284694120447513,-0.006736202478120147,0.0792367423244559,73.42347589198339,-0.12282104298768326,0.38230051046047236,0.23076923076923078,26,False,126,trend,0.5,2.0
tp 1s / sl 0.5s,317301,0.2876795219680997,0.38986640445507575,0.0011779381161823531,-0.09814438662612043,58.52379916861277,-0.09009770665155103,0.16896889704098,0.2962962962962963,27,False,126,all bars,1.0,0.5
tp 1s / sl 0.5s,189045,0.30212383294982675,0.3990584252426671,0.0017959886775047974,-0.09474246243627309,58.86387897061546,-0.0891462952953277,0.1642571874421434,0.3076923076923077,26,False,126,trend,1.0,0.5
tp 1s / sl 1s,317301,0.3335476408835774,0.4885487281792367,0.0016224005657710964,-0.009427312731381664,86.31481463972695,-0.09618714560190056,0.40376487940472927,0.4074074074074074,27,False,126,all bars,1.0,1.0
tp 1s / sl 1s,189045,0.3461768362030204,0.4971726308550874,0.003251680833539014,-0.001936996336996363,87.54683805443149,-0.0907981327080567,0.4141342008516491,0.4230769230769231,26,False,126,trend,1.0,1.0
tp 1s / sl 2s,317301,0.34319148064456145,0.5104238562122401,0.0032135934564208545,0.008025625941620824,99.8427077128657,-0.10173292650683896,0.6057024717854655,0.4444444444444444,27,False,126,all bars,1.0,2.0
tp 1s / sl 2s,189045,0.3543442037610093,0.5161099209182999,0.006195653616355769,0.01264231136666255,99.85704461900606,-0.09133460216224176,0.6071623158507233,0.46153846153846156,26,False,126,trend,1.0,2.0
tp 2s / sl 0.5s,317301,0.1008285508082231,0.3507741860252568,0.0108687451419301,-0.104626625139527,72.95735910066468,-0.07072081485626225,0.32795358350588244,0.4074074074074074,27,False,126,all bars,2.0,0.5
tp 2s / sl 0.5s,189045,0.1093125975296887,0.3579306514321987,0.011758447409657636,-0.1027659597114389,73.70285910761987,-0.06980116309955564,0.3275780898727816,0.34615384615384615,26,False,126,trend,2.0,0.5
tp 2s / sl 1s,317301,0.11392652402608248,0.45044610637848603,0.012578966686872882,-0.03496196843430956,102.94254036388162,-0.079515976151879,0.6108458529913237,0.5185185185185185,27,False,126,all bars,2.0,1.0
tp 2s / sl 1s,189045,0.12191806183712872,0.4584358221587453,0.014745893472157798,-0.028327287620160433,104.52734005131053,-0.07437281759014869,0.62539606971885,0.46153846153846156,26,False,126,trend,2.0,1.0
tp 2s / sl 2s,317301,0.11748465967645863,0.47279712323629614,0.015002099609165312,-0.016597787811414584,117.06840507908895,-0.084851665445699,0.8290014843949436,0.5555555555555556,27,False,126,all bars,2.0,2.0
tp 2s / sl 2s,189045,0.12510248882541194,0.47820360231690867,0.018676755256893253,-0.013147164115352168,117.39779417598984,-0.07464004180832806,0.8339654579597451,0.5384615384615384,26,False,126,trend,2.0,2.0
NO tp / sl 0.5s,317301,0.0,0.34515806757621315,0.016664907569902007,-0.10546358733456342,78.4349844469447,-0.06771235198119308,0.4244928317276025,0.48148148148148145,27,False,126,all bars,,0.5
NO tp / sl 0.5s,189045,0.0,0.3508423920230633,0.01683637782718254,-0.10407925357627726,79.5922505223624,-0.06912963829625285,0.4315692030997911,0.46153846153846156,26,False,126,trend,,0.5
NO tp / sl 1s,317301,0.0,0.444930838541322,0.01932926687839305,-0.03820869565217393,108.99701230062307,-0.07609389727039362,0.7225631183009193,0.5555555555555556,27,False,126,all bars,,1.0
NO tp / sl 1s,189045,0.0,0.451363431987093,0.02043348246437529,-0.032621316702801925,110.96411965405062,-0.07324773482107971,0.7444629585548415,0.5,26,False,126,trend,,1.0
NO tp / sl 2s,317301,0.0,0.4670927605018579,0.021775691531138907,-0.019845010656017736,123.28999278287809,-0.08179384338413698,0.9455249116769251,0.5555555555555556,27,False,126,all bars,,2.0
NO tp / sl 2s,189045,0.0,0.4709513607871142,0.024353572852972846,-0.017160725087481156,124.01045253775555,-0.07381447835946531,0.9579571001613373,0.5769230769230769,26,False,126,trend,,2.0
tp 0.25s / sl 0.5s,303029,0.6569470248722069,0.6600523382250544,-0.011042720150103644,0.06423275771796333,43.77469483118777,-0.14269015736781365,0.017433974966092353,0.19230769230769232,26,False,252,all bars,0.25,0.5
tp 0.25s / sl 0.5s,178822,0.66197671427453,0.6659471429689859,-0.01168125422397209,0.0634659048793918,45.988888391808615,-0.13982045225570394,0.02045050385299348,0.12,25,False,252,trend,0.25,0.5
tp 0.25s / sl 1s,303029,0.7458692072375911,0.7518158328080811,-0.013044253172883822,0.0704643588951937,73.75528084770764,-0.14090760659201995,0.10100683432938762,0.23076923076923078,26,False,252,all bars,0.25,1.0
tp 0.25s / sl 1s,178822,0.7465692140788046,0.7542919774971759,-0.013025721103763533,0.06953793876051195,77.64542394112581,-0.13372062976915633,0.1135430763552583,0.16,25,False,252,trend,0.25,1.0
tp 0.25s / sl 2s,303029,0.7696524095053608,0.7767210399004716,-0.0044384973794713315,0.07162754481592654,91.63622953578701,-0.10748319980036325,0.209626801395246,0.34615384615384615,26,False,252,all bars,0.25,2.0
tp 0.25s / sl 2s,178822,0.7627361286642583,0.7714319267204259,-0.006760213691029323,0.07024272109350338,93.72374204516223,-0.10991366639332523,0.22228808535862477,0.2,25,False,252,trend,0.25,2.0
tp 0.5s / sl 0.5s,303029,0.49110811176488056,0.511571499757449,-0.0033420815307405984,0.05806615514670937,74.99891429533147,-0.09751913689515801,0.057377346722590906,0.38461538461538464,26,False,252,all bars,0.5,0.5
tp 0.5s / sl 0.5s,178822,0.5033608840075606,0.5251199516837973,-0.002481062033382759,0.07604103102645966,76.60022815984611,-0.09224642038451492,0.0588965563521267,0.24,25,False,252,trend,0.5,0.5
tp 0.5s / sl 1s,303029,0.5720508598186972,0.6087437175979856,-0.006050895091792015,0.11489611881245113,119.38265644542271,-0.11088603307153488,0.21283771520217537,0.4230769230769231,26,False,252,all bars,0.5,1.0
tp 0.5s / sl 1s,178822,0.5819865564639698,0.6222276901052444,-0.003261312183013411,0.11455125373223071,122.04014047488565,-0.10142554455964214,0.22261243023789018,0.44,25,False,252,trend,0.5,1.0
tp 0.5s / sl 2s,303029,0.5952235594613057,0.6378333426833735,0.007078878194971787,0.12125464164793945,143.80007524032354,-0.08369783525804142,0.3763699183906491,0.38461538461538464,26,False,252,all bars,0.5,2.0
tp 0.5s / sl 2s,178822,0.5960787822527429,0.6410956146335463,0.006147308390902489,0.11759282227920391,143.8733880618716,-0.08277973933925242,0.3831911062397244,0.48,25,False,252,trend,0.5,2.0
tp 1s / sl 0.5s,303029,0.2924604575799676,0.3910384814654703,0.00920502303435208,-0.13504226748439888,114.4694864187916,-0.07293643603122668,0.1664032155338268,0.4230769230769231,26,False,252,all bars,1.0,0.5
tp 1s / sl 0.5s,178822,0.3107783158671752,0.4088982339980539,0.013465802630994762,-0.12819579747336415,115.46513851763206,-0.0642481125707054,0.16323494871995617,0.4,25,False,252,trend,1.0,0.5
tp 1s / sl 1s,303029,0.3398123611931531,0.48520108636467135,0.007793388011894014,-0.018874336283185855,169.8685835349092,-0.08957460877292789,0.4019615284345723,0.4230769230769231,26,False,252,all bars,1.0,1.0
tp 1s / sl 1s,178822,0.35888201675409065,0.505955643041684,0.015518088351664107,0.00782086440164886,171.6039860867231,-0.07737627241761114,0.40607978884029927,0.48,25,False,252,trend,1.0,1.0
tp 1s / sl 2s,303029,0.3541971230476291,0.5156668173673147,0.025042216438571123,0.01820952380952392,198.5112975985797,-0.06675503610475186,0.612436433476664,0.5,26,False,252,all bars,1.0,2.0
tp 1s / sl 2s,178822,0.3675274854324412,0.5259699589535963,0.02784774727642294,0.02999125849734382,196.9414501571395,-0.062487736610897016,0.6072519041281275,0.52,25,False,252,trend,1.0,2.0
tp 2s / sl 0.5s,303029,0.1157116975602995,0.3474650940999046,0.025465644330346465,-0.14463741079160589,143.34931970207472,-0.059178803274525626,0.3118150408046755,0.5,26,False,252,all bars,2.0,0.5
tp 2s / sl 0.5s,178822,0.12454843363791927,0.36191296372929505,0.029728080350271864,-0.14046530098914894,145.64254957443714,-0.05223658330962666,0.31510105020635043,0.52,25,False,252,trend,2.0,0.5
tp 2s / sl 1s,303029,0.13290147147632736,0.44188840012012054,0.0275121250832083,-0.05920023967255758,203.29112725184717,-0.07494364828829791,0.5939167538420416,0.5384615384615384,26,False,252,all bars,2.0,1.0
tp 2s / sl 1s,178822,0.14282358993859817,0.4608157832928834,0.03609645396702147,-0.03963985798870746,206.4486137052488,-0.06373565607813825,0.606592030063415,0.56,25,False,252,trend,2.0,1.0
tp 2s / sl 2s,303029,0.13840919515953917,0.47267423249919976,0.04679738215274077,-0.024058043489857947,233.51918133247972,-0.05526708801594393,0.8261156522973049,0.6153846153846154,26,False,252,all bars,2.0,2.0
tp 2s / sl 2s,178822,0.14606144657816153,0.48082450705170504,0.049522981219752106,-0.016504101535979594,233.19091051436624,-0.05132525047047232,0.8265705561955464,0.56,25,False,252,trend,2.0,2.0
NO tp / sl 0.5s,303029,0.0,0.3397562609519221,0.03238986722069708,-0.14616234717882437,156.14083800560343,-0.05922378302163067,0.42144481221269253,0.5,26,False,252,all bars,,0.5
NO tp / sl 0.5s,178822,0.0,0.35198129984006443,0.0375805778336862,-0.14266004132071405,159.35004082271757,-0.05327109753139503,0.43170862645535785,0.52,25,False,252,trend,,0.5
NO tp / sl 1s,303029,0.0,0.4344303680505826,0.03488899413777925,-0.0653076641404998,217.5909137409291,-0.07415050495036046,0.7235479112560184,0.5384615384615384,26,False,252,all bars,,1.0
NO tp / sl 1s,178822,0.0,0.4513762288756417,0.044567923827298954,-0.04761087189349997,221.75920748006396,-0.06374346548489873,0.7449922269072038,0.56,25,False,252,trend,,1.0
NO tp / sl 2s,303029,0.0,0.4652591006141326,0.05471276524565045,-0.029636876776135485,248.2357035135251,-0.0559052791186484,0.9630233410003664,0.6538461538461539,26,False,252,all bars,,2.0
NO tp / sl 2s,178822,0.0,0.47141291339991725,0.05766062775047313,-0.024455312323950908,248.89050564248248,-0.052838942751975204,0.9705125767523012,0.6,25,False,252,trend,,2.0
